Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
,233,NQ,L16,,,,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.2,11.2,1,17,1.785714285714286,0.001785714285714286,96.0,96.0,96
,5,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,NQ,NQ,NQ,NQ,NQ,P,P,P,NQ,NQ,P,0.0,16.6,10,1,0.0,0.0,97.0,97.0,97
,113,,,,,,NQ,,NQ,NQ,,,NQ,NQ,NQ,NQ,,NQ,P,NQ,NQ,P,NQ,NQ,NQ,NQ,P,P,NQ,NQ,NQ,P,NQ,P,P,P,P,P,0.0,15.200000000000001,10,5,0.0,0.0,97.0,97.0,98
,114,,,,,,,,,,,,NQ,NQ,NQ,NQ,,NQ,P,NQ,NQ,P,NQ,NQ,NQ,NQ,P,P,NQ,NQ,NQ,P,NQ,P,P,P,P,P,0.0,15.200000000000001,10,5,0.0,0.0,97.0,97.0,99
,60,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,NQ,P,NQ,NQ,NQ,P,P,P,NQ,P,P,0.0,14.8,6,2,0.0,0.0,97.0,97.0,100
,23,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,NQ,NQ,P,P,P,P,NQ,P,0.0,14.650000000000002,7,1,0.0,0.0,97.0,97.0,101
,132,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,NQ,NQ,P,P,NQ,P,NQ,NQ,P,P,P,P,P,P,P,0.0,13.6,7,7,0.0,0.0,97.0,97.0,102
,65,,,,,,,,,,,,,,,NQ,NQ,NQ,NQ,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,NQ,P,P,P,P,NQ,P,P,0.0,13.3,6,2,0.0,0.0,97.0,97.0,103
,4,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,NQ,P,P,P,P,P,NQ,P,0.0,13.149999999999999,5,1,0.0,0.0,97.0,97.0,104
,156,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,NQ,P,NQ,P,P,NQ,NQ,P,P,P,P,P,P,P,P,0.0,13.0,6,8,0.0,0.0,97.0,97.0,105
,126,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,NQ,P,P,P,P,P,P,P,0.0,12.95,5,7,0.0,0.0,97.0,97.0,106
,131,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,NQ,NQ,NQ,P,P,P,NQ,P,P,NQ,P,P,P,P,P,P,P,0.0,12.95,7,7,0.0,0.0,97.0,97.0,107
,21,,,,,,,,L16,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,NQ,P,0.0,12.85,3,1,0.0,0.0,97.0,97.0,108
,0,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,NQ,P,0.0,12.6,2,1,0.0,0.0,97.0,97.0,109
,90,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,P,P,NQ,P,P,P,P,0.0,12.6,4,4,0.0,0.0,97.0,97.0,110
,166,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,NQ,NQ,P,P,P,P,P,P,P,P,P,P,0.0,12.350000000000001,4,10,0.0,0.0,97.0,97.0,111
,170,,NQ,,,,NQ,,,,,,,,,,NQ,P,P,P,P,P,NQ,NQ,NQ,P,P,NQ,P,P,P,P,P,P,P,P,P,P,0.0,12.350000000000001,4,10,0.0,0.0,97.0,97.0,112
,194,,,,,,,NQ,NQ,,,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,12.1,6,12,0.0,0.0,97.0,97.0,113
,182,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.8,3,11,0.0,0.0,97.0,97.0,114
,183,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.8,3,11,0.0,0.0,97.0,97.0,115
,61,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,P,P,NQ,P,P,0.0,11.7,4,2,0.0,0.0,97.0,97.0,116
,150,,NQ,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,0.0,11.600000000000001,1,8,0.0,0.0,97.0,97.0,117
,18,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,0.0,11.600000000000001,2,1,0.0,0.0,97.0,97.0,118
,119,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,P,P,0.0,11.6,1,6,0.0,0.0,97.0,97.0,119
,203,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.6,4,14,0.0,0.0,97.0,97.0,120
,204,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.6,4,14,0.0,0.0,97.0,97.0,121
,186,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.55,2,11,0.0,0.0,97.0,97.0,122
,197,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.55,2,13,0.0,0.0,97.0,97.0,123
,70,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,NQ,P,P,0.0,11.549999999999999,3,2,0.0,0.0,97.0,97.0,124
,191,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.45,3,12,0.0,0.0,97.0,97.0,125
,187,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.4,2,11,0.0,0.0,97.0,97.0,126
,159,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,P,0.0,11.350000000000001,2,9,0.0,0.0,97.0,97.0,127
,184,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.350000000000001,2,11,0.0,0.0,97.0,97.0,128
,221,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.35,3,15,0.0,0.0,97.0,97.0,129
,205,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.3,3,14,0.0,0.0,97.0,97.0,130
,206,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.3,3,14,0.0,0.0,97.0,97.0,131
,111,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,P,P,NQ,P,P,P,P,P,0.0,11.25,3,5,0.0,0.0,97.0,97.0,132
,128,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,NQ,P,P,P,P,P,P,P,0.0,11.25,4,7,0.0,0.0,97.0,97.0,133
,218,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.25,2,15,0.0,0.0,97.0,97.0,134
,190,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.2,2,12,0.0,0.0,97.0,97.0,135
,202,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.15,2,14,0.0,0.0,97.0,97.0,136
,213,,,,,,,,,,,,,,,,QF,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.15,1,15,0.0,0.0,97.0,97.0,137
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,NQ,P,P,NQ,P,0.0,11.05,4,1,0.0,0.0,97.0,97.0,138
,237,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.0,1,18,0.0,0.0,97.0,97.0,139
,238,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.0,1,18,0.0,0.0,97.0,97.0,140
,239,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.0,1,18,0.0,0.0,97.0,97.0,141
,240,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.0,1,18,0.0,0.0,97.0,97.0,142
